source_id,citation,title,year,authors,publisher_or_institution,venue_or_series,doi,url,source_tier,document_type,pdf_filename,page_count,text_extractable,chunk_count,metadata_completeness,bibliography_entry,redistribution_status,notes
OJ_L_202401689_EN_TXT,EU AI Act (Regulation (EU) 2024/1689),"Regulation (EU) 2024/1689, the EU Artificial Intelligence Act",2024,Publications Office of the European Union L-2985 Luxembourg LUXEMBOURG,,,,,EU/policy source,corpus PDF,OJ_L_202401689_EN_TXT.pdf,144,True,286,0.69,"Publications Office of the European Union L-2985 Luxembourg LUXEMBOURG (2024). Regulation (EU) 2024/1689, the EU Artificial Intelligence Act.",included in repository with project clearance,
PIIS1364661325002864,Trends in Cognitive Sciences article (2025),Trends in Cognitive Sciences article (2025),2025,Patrick Butlin,,,10.1016/j.tics.2025.10.011,https://doi.org/10.1016/j.tics.2025.10.011,Wider supporting literature,corpus PDF,PIIS1364661325002864.pdf,14,True,32,0.85,Patrick Butlin (2025). Trends in Cognitive Sciences article (2025). https://doi.org/10.1016/j.tics.2025.10.011.,included in repository with project clearance,
Psychology of Women Quarterly - December 1980 - Spence - Masculine Instrumentality and Feminine Expressiveness  Their,Spence (1980),Spence (1980),1980,,,,10.1111/j.1471-6402.1980.tb00951.x,https://doi.org/10.1111/j.1471-6402.1980.tb00951.x,Wider supporting literature,corpus PDF,Psychology of Women Quarterly - December 1980 - Spence - Masculine Instrumentality and Feminine Expressiveness  Their.pdf,17,True,24,0.77,Spence (1980). https://doi.org/10.1111/j.1471-6402.1980.tb00951.x.,included in repository with project clearance,
Resource Guide on AI Strategies_June 2021,Resource Guide on AI Strategies (2021),Resource Guide on Artificial Intelligence Strategies,2021,Adi Ziona Adamit,,,,,Wider supporting literature,corpus PDF,Resource Guide on AI Strategies_June 2021.pdf,120,True,131,0.69,Adi Ziona Adamit (2021). Resource Guide on Artificial Intelligence Strategies.,included in repository with project clearance,
Scientists on ‘urgent’ quest to explain consciousness as AI gathers pace _ERC,"European Research Council, Scientists on Consciousness and AI","European Research Council, Scientists on Consciousness and AI",2025,,,,10.3389/fsci.2025.1546279/full,https://doi.org/10.3389/fsci.2025.1546279/full,Wider supporting literature,corpus PDF,Scientists on ‘urgent’ quest to explain consciousness as AI gathers pace _ERC.pdf,5,True,5,0.77,"European Research Council, Scientists on Consciousness and AI (2025). https://doi.org/10.3389/fsci.2025.1546279/full.",included in repository with project clearance,
Taking AI Welfare Seriously,"Long and Sebo et al. (2024), Taking AI Welfare Seriously",Taking AI Welfare Seriously,2024,,,,,,Adjacent literature,corpus PDF,Taking AI Welfare Seriously.pdf,62,True,100,0.62,"Long and Sebo et al. (2024), Taking AI Welfare Seriously. Taking AI Welfare Seriously.",included in repository with project clearance,
Telia Company Guiding Principles on Trusted AI ethics (1),"Telia Company, Guiding Principles on Trusted AI Ethics",Guiding Principles on Trusted AI Ethics,2023,Grudén; Annika,,,,,Wider supporting literature,corpus PDF,Telia Company Guiding Principles on Trusted AI ethics (1).pdf,3,True,3,0.69,"Grudén, Annika (2023). Guiding Principles on Trusted AI Ethics.",included in repository with project clearance,
The AI Agent Index,The AI Agent Index,The AI Agent Index,2024,Stephen Casper; Luke Bailey; Rosco Hunter; Carson Ezell; Emma Cabalé; Michael Gerovitch; Stewart Slocum; Kevin Wei; Nikola Jurkovic; Ariba Khan; Phillip Christoffersen; A. Pinar Ozisik; Rakshit Trivedi; Dylan Hadfield-Menell; Noam Kolt,,,,,Wider supporting literature,corpus PDF,The AI Agent Index.pdf,15,True,28,0.69,"Stephen Casper, Luke Bailey, Rosco Hunter, Carson Ezell, Emma Cabalé, Michael Gerovitch, Stewart Slocum, Kevin Wei, Nikola Jurkovic, Ariba Khan, Phillip Christoffersen, A. Pinar Ozisik, Rakshit Trivedi, Dylan Hadfield-Menell, Noam Kolt (2024). The AI Agent Index.",included in repository with project clearance,
The Ethics of Advanced AI Assistants,The Ethics of Advanced AI Assistants,The Ethics of Advanced AI Assistants,2024,,,,,,Wider supporting literature,corpus PDF,The Ethics of Advanced AI Assistants.pdf,273,True,540,0.62,The Ethics of Advanced AI Assistants (2024).,included in repository with project clearance,
The Moral Consideration of Artificial Entities- A Literature,The Moral Consideration of Artificial Entities,The Moral Consideration of Artificial Entities: A Literature Review,2020,Jamie Harris,,,10.1007/s11948-021-00331-8,https://doi.org/10.1007/s11948-021-00331-8,Adjacent literature,corpus PDF,The Moral Consideration of Artificial Entities- A Literature.pdf,95,True,136,0.85,Jamie Harris (2020). The Moral Consideration of Artificial Entities: A Literature Review. https://doi.org/10.1007/s11948-021-00331-8.,included in repository with project clearance,
The ethics of aware and collective artificial intelligence systems,The Ethics of Aware and Collective Artificial Intelligence Systems,The Ethics of Aware and Collective Artificial Intelligence Systems,2016,,,,,,Wider supporting literature,corpus PDF,The ethics of aware and collective artificial intelligence systems.pdf,9,True,9,0.62,The Ethics of Aware and Collective Artificial Intelligence Systems (2016).,included in repository with project clearance,
Translation_ Chinese AI Alliance Drafts Self-Discipline 'Joint Pledge' - New America,"New America translation, Chinese AI Alliance Joint Pledge","New America translation, Chinese AI Alliance Joint Pledge",2017,,,,,,Wider supporting literature,corpus PDF,Translation_ Chinese AI Alliance Drafts Self-Discipline 'Joint Pledge' - New America.pdf,4,True,5,0.62,"New America translation, Chinese AI Alliance Joint Pledge (2017).",included in repository with project clearance,
Translation_ Chinese Expert Group Offers 'Governance Principles' for 'Responsible AI' - New America,"New America translation, Chinese Responsible AI Governance Principles","New America translation, Chinese Responsible AI Governance Principles",2026,,,,,,Wider supporting literature,corpus PDF,Translation_ Chinese Expert Group Offers 'Governance Principles' for 'Responsible AI' - New America.pdf,3,True,4,0.62,"New America translation, Chinese Responsible AI Governance Principles (2026).",included in repository with project clearance,
Ukraine Voluntary CoC,Ukraine Voluntary Code of Conduct on AI,Ukraine Voluntary Code of Conduct on AI,,Анастасія Бистрицька,,,,,Wider supporting literature,corpus PDF,Ukraine Voluntary CoC.pdf,17,True,11,0.62,Анастасія Бистрицька. Ukraine Voluntary Code of Conduct on AI.,included in repository with project clearance,
VallorVierkant2024,Vallor and Vierkant (2024),Vallor and Vierkant (2024),2024,,,,10.1007/s11023-024-09674-0,https://doi.org/10.1007/s11023-024-09674-0,Wider supporting literature,corpus PDF,VallorVierkant2024.pdf,23,True,40,0.77,Vallor and Vierkant (2024). https://doi.org/10.1007/s11023-024-09674-0.,included in repository with project clearance,
Vereschak,Vereschak et al.,Vereschak et al.,2021,"Oleksandra Vereschak, Gilles Bailly,; Baptiste Caramiaux",,,10.1145/3476068,https://doi.org/10.1145/3476068,Wider supporting literature,corpus PDF,Vereschak.pdf,39,True,75,0.85,"Oleksandra Vereschak, Gilles Bailly,, Baptiste Caramiaux (2021). Vereschak et al. https://doi.org/10.1145/3476068.",included in repository with project clearance,
ai-ethics-guidelines,"EU Ethics Guidelines for Trustworthy AI (HLEG, 2019)",Ethics Guidelines for Trustworthy AI,2019,AEPD,,,,,EU/policy source,corpus PDF,ai-ethics-guidelines.pdf,41,True,73,0.69,AEPD (2019). Ethics Guidelines for Trustworthy AI.,included in repository with project clearance,
ai-report,AI Report,AI Report,2023,U.S. Department of Education,,,,,Wider supporting literature,corpus PDF,ai-report.pdf,71,True,91,0.69,U.S. Department of Education (2023). AI Report.,included in repository with project clearance,
artificial-suffering-an-argument-for-a-global-moratorium-on-synthetic-phenomenology,Artificial Suffering and Synthetic Phenomenology,Artificial Suffering and Synthetic Phenomenology,2009,Thomas Metzinger (1Philosophisches Seminar; Johannes Gutenberg-Universität Mainz; D-55099 Mainz; Germany),,,10.1142/S270507852150003X,https://doi.org/10.1142/S270507852150003X,Adjacent literature,corpus PDF,artificial-suffering-an-argument-for-a-global-moratorium-on-synthetic-phenomenology.pdf,24,True,39,0.85,"Thomas Metzinger (1Philosophisches Seminar, Johannes Gutenberg-Universität Mainz, D-55099 Mainz, Germany) (2009). Artificial Suffering and Synthetic Phenomenology. https://doi.org/10.1142/S270507852150003X.",included in repository with project clearance,
doc_38,"European Parliament, What If Generative AI Became Conscious?",What If Generative Artificial Intelligence Became Conscious?,2023,ERBACH Gregor,,,,,Wider supporting literature,corpus PDF,doc_38.pdf,2,True,5,0.69,ERBACH Gregor (2023). What If Generative Artificial Intelligence Became Conscious?.,included in repository with project clearance,
doc_42,Should We Fear Artificial Intelligence?,Should We Fear Artificial Intelligence?,2018,MANIRAMBONA Rachel,,,,,Wider supporting literature,corpus PDF,doc_42.pdf,40,True,58,0.69,MANIRAMBONA Rachel (2018). Should We Fear Artificial Intelligence?.,included in repository with project clearance,
dubai ai-ethics,Dubai AI Ethics Principles and Guidelines,Dubai AI Ethics Principles and Guidelines,,,,,,,Wider supporting literature,corpus PDF,dubai ai-ethics.pdf,35,True,26,0.54,Dubai AI Ethics Principles and Guidelines.,included in repository with project clearance,
everydayethics,Everyday Ethics for Artificial Intelligence,Everyday Ethics for Artificial Intelligence,2022,,,,,,Wider supporting literature,corpus PDF,everydayethics.pdf,27,True,15,0.62,Everyday Ethics for Artificial Intelligence (2022).,included in repository with project clearance,
floridi_etal2018,Floridi et al. (2018),Floridi et al. (2018),2018,Luciano Floridi,,,10.1007/s11023-018-9482-5,https://doi.org/10.1007/s11023-018-9482-5,Wider supporting literature,corpus PDF,floridi_etal2018.pdf,19,True,28,0.85,Luciano Floridi (2018). Floridi et al. (2018). https://doi.org/10.1007/s11023-018-9482-5.,included in repository with project clearance,
frai-06-1020592,Frontiers in Robotics and AI article 1020592,Frontiers in Robotics and AI article 1020592,2020,Charles Radclyffe,,,10.3389/frai.2023.1020592,https://doi.org/10.3389/frai.2023.1020592,Wider supporting literature,corpus PDF,frai-06-1020592.pdf,10,True,27,0.85,Charles Radclyffe (2020). Frontiers in Robotics and AI article 1020592. https://doi.org/10.3389/frai.2023.1020592.,included in repository with project clearance,
